time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-06-12 09:30:00-04:00,MLTrader,6eb2eefe1ab649aa81c19e08637d27cc,SPY,sell,market,fill,1,day,0.0,1,stock,435.32000732421875,117.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,abc6d934dbb444ba968cf0e1ac811d07,SPY,buy,market,fill,1,gtc,0.0,1,stock,435.32000732421875,57.0,0.0
2023-06-13 09:30:00-04:00,MLTrader,a92b9a735703434b9cabcdf3a5310a87,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-13 09:30:00-04:00,MLTrader,33ae61e6585e4dc282396e289c14c0b3,SPY,sell,stop,fill,1,day,0.0,1,stock,437.010009765625,57.0,0.0
2023-06-29 09:30:00-04:00,MLTrader,f736a928ca3949f6801df7037e365fd5,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-29 09:30:00-04:00,MLTrader,f736a928ca3949f6801df7037e365fd5,SPY,buy,market,fill,1,gtc,0.0,1,stock,441.44000244140625,114.0,0.0
2023-06-30 09:30:00-04:00,MLTrader,519f34976f814c659ddfa40b8cd43a60,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-30 09:30:00-04:00,MLTrader,5869d686f68741e98b5a7af9c89a9b64,SPY,sell,stop,fill,1,day,0.0,1,stock,441.44000244140625,114.0,0.0
2023-08-01 09:30:00-04:00,MLTrader,0d258a863b3142b8883349c649084039,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-08-01 09:30:00-04:00,MLTrader,0d258a863b3142b8883349c649084039,SPY,buy,market,fill,1,gtc,0.0,1,stock,453.25,111.0,0.0
2023-08-02 09:30:00-04:00,MLTrader,7b6727bc415844f292bef4dc80456fc4,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-08-02 09:30:00-04:00,MLTrader,2873bdc78b2b4c1fb7a4c5cbcdfc044e,SPY,sell,stop,fill,1,day,0.0,1,stock,448.0400085449219,111.0,0.0
2023-08-11 09:30:00-04:00,MLTrader,79585c1fa9ed46cd92fa7505fd4642e1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-08-11 09:30:00-04:00,MLTrader,79585c1fa9ed46cd92fa7505fd4642e1,SPY,buy,market,fill,1,gtc,0.0,1,stock,443.9700012207031,113.0,0.0
2023-08-12 09:30:00-04:00,MLTrader,97af637adf154f479dcba5e79847115a,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-08-12 09:30:00-04:00,MLTrader,25c8f9852afe4589bb096578f2055b8a,SPY,sell,stop,fill,1,day,0.0,1,stock,443.9700012207031,113.0,0.0
2023-08-21 09:30:00-04:00,MLTrader,06011c8ec4934429b2e8f753a1a62189,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-08-21 09:30:00-04:00,MLTrader,06011c8ec4934429b2e8f753a1a62189,SPY,buy,market,fill,1,gtc,0.0,1,stock,441.17999267578125,114.0,0.0
2023-08-22 09:30:00-04:00,MLTrader,8cba7940641c4a3c83039c33592c5b69,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-08-22 09:30:00-04:00,MLTrader,add3ea55e36d4a1a8c1b9595adba1c83,SPY,sell,stop,fill,1,day,0.0,1,stock,439.25,114.0,0.0
2023-09-08 09:30:00-04:00,MLTrader,93150331435c408087c2b726324c7333,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-09-08 09:30:00-04:00,MLTrader,93150331435c408087c2b726324c7333,SPY,buy,market,fill,1,gtc,0.0,1,stock,444.8999938964844,113.0,0.0
2023-09-09 09:30:00-04:00,MLTrader,a8e7cf07d2064b61818fc81a43326bb4,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-09-09 09:30:00-04:00,MLTrader,9836b14780124b0482a736845b1a44ea,SPY,sell,stop,fill,1,day,0.0,1,stock,444.8999938964844,113.0,0.0
2023-11-02 09:30:00-04:00,MLTrader,06837deb26d044838c5fc15986e24637,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-02 09:30:00-04:00,MLTrader,06837deb26d044838c5fc15986e24637,SPY,buy,market,fill,1,gtc,0.0,1,stock,433.1400146484375,116.0,0.0
2023-11-03 09:30:00-04:00,MLTrader,2e669687d6db4e419abd26f64967ef9f,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-11-03 09:30:00-04:00,MLTrader,293237c9d878400eac3573aa52ba06a5,SPY,sell,stop,fill,1,day,0.0,1,stock,433.1400146484375,116.0,0.0
2023-11-13 09:30:00-05:00,MLTrader,e065dcfeedd149199b26eb905bf1f671,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-13 09:30:00-05:00,MLTrader,e065dcfeedd149199b26eb905bf1f671,SPY,buy,market,fill,1,gtc,0.0,1,stock,439.2300109863281,114.0,0.0
2023-11-14 09:30:00-05:00,MLTrader,6e08acc2470544a098c33a764a661006,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
